date,region,country,product_category,product_name,sales_channel,customer_segment,revenue,units_sold,new_customers,discount_rate,gross_margin,order_count,marketing_spend,conversion_rate,campaign_flag,is_promo_period
2024-01-02,LATAM,Brazil,Services,Implementation Services,Direct,Enterprise,7240.94,2,0,0.0544,0.4752,1,1379.94,0.0534,false,false
2024-01-02,LATAM,Chile,Enterprise Suite,Insight Enterprise Cloud,Partner,Enterprise,4538.99,1,0,0.0941,0.6053,1,817.08,0.0397,false,false
2024-01-02,LATAM,Brazil,Analytics Platform,Pipeline Analytics,Marketplace,Mid-Market,3384.71,2,1,0.0955,0.5115,2,676.25,0.0359,false,false
2024-01-03,North America,Canada,Enterprise Suite,Insight Enterprise Cloud,Direct,Enterprise,18847.38,3,0,0.0597,0.7200,2,3280.17,0.0634,false,false
2024-01-03,North America,United States,Enterprise Suite,Revenue Intelligence Pro,Partner,Enterprise,13393.33,2,0,0.0793,0.6569,1,2338.06,0.0471,false,false
2024-01-03,North America,Canada,Services,Implementation Services,Marketplace,Enterprise,8037.37,3,0,0.0961,0.4494,2,1747.28,0.0509,false,false
2024-01-03,EMEA,Germany,Enterprise Suite,Insight Enterprise Cloud,Direct,Enterprise,11551.03,2,0,0.0614,0.7021,1,2935.80,0.0594,false,false
2024-01-03,EMEA,United Kingdom,Services,Implementation Services,Partner,Enterprise,8787.95,3,0,0.0923,0.4362,2,1660.92,0.0453,false,false
2024-01-03,EMEA,Germany,Analytics Platform,Pipeline Analytics,Marketplace,Enterprise,5431.53,3,0,0.1040,0.5456,2,1112.20,0.0362,false,false
2024-01-03,APAC,Japan,Analytics Platform,Forecast Studio,Direct,SMB,10229.90,9,4,0.0715,0.5858,9,2296.36,0.0638,false,false
2024-01-03,APAC,Japan,Analytics Platform,Forecast Studio,Partner,Enterprise,7946.44,5,1,0.0813,0.5077,4,1878.57,0.0439,false,false
2024-01-03,APAC,Singapore,Enterprise Suite,Revenue Intelligence Pro,Marketplace,Enterprise,5261.57,1,0,0.1108,0.5551,1,990.67,0.0453,false,false
2024-01-03,LATAM,Mexico,Automation Tools,CRM Workflow Pack,Direct,Mid-Market,5662.72,16,4,0.0578,0.5226,14,1253.48,0.0494,false,false
2024-01-03,LATAM,Brazil,Automation Tools,CRM Workflow Pack,Partner,Mid-Market,3979.73,11,3,0.0833,0.4756,10,893.14,0.0365,false,false
2024-01-03,LATAM,Brazil,Analytics Platform,Pipeline Analytics,Marketplace,Enterprise,2837.20,2,0,0.1079,0.5363,1,566.44,0.0325,false,false
2024-01-04,North America,United States,Enterprise Suite,Insight Enterprise Cloud,Direct,Enterprise,16201.34,3,0,0.0579,0.7040,2,3892.63,0.0640,false,false
2024-01-04,North America,United States,Enterprise Suite,Insight Enterprise Cloud,Partner,SMB,13159.44,3,1,0.0917,0.6659,3,2513.70,0.0507,false,false
2024-01-04,North America,Canada,Services,Implementation Services,Marketplace,Enterprise,9052.42,3,0,0.1073,0.4491,2,1665.90,0.0498,false,false
2024-01-04,EMEA,Germany,Automation Tools,Lead Scoring Add-on,Direct,SMB,11561.03,41,15,0.0542,0.5500,43,2948.13,0.0562,false,false
2024-01-04,EMEA,United Arab Emirates,Enterprise Suite,Insight Enterprise Cloud,Partner,Enterprise,8946.24,1,0,0.0749,0.6208,1,1605.39,0.0407,false,false
2024-01-04,EMEA,United Arab Emirates,Analytics Platform,Forecast Studio,Marketplace,Enterprise,5700.48,3,0,0.1031,0.5380,2,1266.61,0.0429,false,false
2024-01-04,APAC,Singapore,Analytics Platform,Forecast Studio,Direct,Enterprise,9486.49,5,1,0.0609,0.5808,4,2847.84,0.0599,false,false
2024-01-04,APAC,India,Analytics Platform,Pipeline Analytics,Partner,Enterprise,7957.42,5,1,0.0922,0.5223,4,1849.12,0.0508,false,false
2024-01-04,APAC,Singapore,Services,Implementation Services,Marketplace,Enterprise,3583.29,1,0,0.0992,0.3584,1,1073.16,0.0470,false,false
2024-01-04,LATAM,Chile,Automation Tools,Lead Scoring Add-on,Direct,Enterprise,6935.27,15,2,0.0609,0.5246,11,1453.89,0.0522,false,false
2024-01-04,LATAM,Brazil,Enterprise Suite,Insight Enterprise Cloud,Partner,Enterprise,4285.58,1,0,0.0891,0.5998,1,951.18,0.0391,false,false
2024-01-04,LATAM,Chile,Automation Tools,CRM Workflow Pack,Marketplace,Enterprise,2725.90,6,1,0.1069,0.4527,4,679.32,0.0330,false,false
2024-01-05,North America,Canada,Enterprise Suite,Insight Enterprise Cloud,Direct,Enterprise,19917.18,3,0,0.0509,0.7200,2,3538.62,0.0634,false,false
2024-01-05,North America,United States,Enterprise Suite,Revenue Intelligence Pro,Partner,Enterprise,10945.82,2,0,0.0848,0.6500,1,2641.82,0.0507,false,false
2024-01-05,North America,Canada,Analytics Platform,Forecast Studio,Marketplace,SMB,8718.20,8,3,0.1072,0.5558,8,1808.72,0.0462,false,false
2024-01-05,EMEA,France,Enterprise Suite,Revenue Intelligence Pro,Direct,Enterprise,12251.02,2,0,0.0561,0.6787,1,2738.24,0.0548,false,false
2024-01-05,EMEA,United Kingdom,Analytics Platform,Forecast Studio,Partner,Mid-Market,8372.14,6,1,0.0863,0.5541,5,1877.71,0.0426,false,false
2024-01-05,EMEA,France,Enterprise Suite,Insight Enterprise Cloud,Marketplace,Enterprise,5637.05,1,0,0.1089,0.6069,1,1150.53,0.0440,false,false
2024-01-05,APAC,Australia,Analytics Platform,Forecast Studio,Direct,Enterprise,10282.92,6,1,0.0509,0.5794,4,2345.56,0.0577,false,false
2024-01-05,APAC,India,Enterprise Suite,Revenue Intelligence Pro,Partner,SMB,6990.50,2,1,0.0817,0.5875,2,1488.18,0.0434,false,false
2024-01-05,APAC,India,Analytics Platform,Pipeline Analytics,Marketplace,SMB,4500.37,4,1,0.1045,0.5068,4,1046.94,0.0469,false,false
2024-01-05,LATAM,Chile,Automation Tools,Lead Scoring Add-on,Direct,Mid-Market,6844.59,19,5,0.0516,0.5462,17,1237.34,0.0480,false,false
2024-01-05,LATAM,Brazil,Automation Tools,CRM Workflow Pack,Partner,Mid-Market,4745.37,13,3,0.0833,0.4542,11,1015.70,0.0338,false,false
2024-01-05,LATAM,Brazil,Automation Tools,Lead Scoring Add-on,Marketplace,Enterprise,2432.04,5,0,0.0948,0.4482,4,626.63,0.0323,false,false
2024-01-06,North America,United States,Analytics Platform,Forecast Studio,Direct,Mid-Market,16076.71,11,3,0.0630,0.6606,10,3617.64,0.0644,false,false
2024-01-06,North America,Canada,Services,Implementation Services,Partner,Enterprise,8714.08,3,0,0.0804,0.4575,2,2246.99,0.0480,false,false
2024-01-06,North America,United States,Automation Tools,Lead Scoring Add-on,Marketplace,Mid-Market,6902.91,19,4,0.1007,0.4803,17,1820.82,0.0507,false,false
2024-01-06,EMEA,United Arab Emirates,Services,Enablement Workshop,Direct,Enterprise,11551.83,4,0,0.0522,0.4829,3,2580.31,0.0600,false,false
2024-01-06,EMEA,United Kingdom,Automation Tools,Lead Scoring Add-on,Partner,Mid-Market,6162.31,17,4,0.0769,0.4848,15,1853.71,0.0422,false,false
2024-01-06,EMEA,United Arab Emirates,Analytics Platform,Forecast Studio,Marketplace,Enterprise,4532.19,3,0,0.1115,0.5467,2,1037.48,0.0430,false,false
2024-01-06,APAC,India,Analytics Platform,Pipeline Analytics,Direct,Mid-Market,7476.97,5,1,0.0544,0.5624,4,2835.88,0.0599,false,false
2024-01-06,APAC,Japan,Services,Implementation Services,Partner,Mid-Market,5305.22,2,0,0.0828,0.3923,2,1482.21,0.0506,false,false
2024-01-06,APAC,India,Analytics Platform,Forecast Studio,Marketplace,Enterprise,4212.23,2,0,0.1062,0.5052,1,1125.81,0.0470,false,false
2024-01-06,LATAM,Chile,Enterprise Suite,Revenue Intelligence Pro,Direct,Enterprise,3227.77,1,0,0.0544,0.6781,1,1525.70,0.0506,false,false
2024-01-06,LATAM,Mexico,Analytics Platform,Pipeline Analytics,Partner,Enterprise,3037.11,2,0,0.0821,0.5533,1,1020.82,0.0349,false,false
2024-01-06,LATAM,Brazil,Enterprise Suite,Revenue Intelligence Pro,Marketplace,Enterprise,2448.25,1,0,0.1099,0.5859,1,638.35,0.0366,false,false
2024-01-07,North America,United States,Analytics Platform,Pipeline Analytics,Direct,Enterprise,15679.72,9,1,0.0683,0.6598,6,3202.15,0.0612,false,false
2024-01-07,North America,Canada,Enterprise Suite,Revenue Intelligence Pro,Partner,Enterprise,10468.38,2,0,0.0886,0.6677,1,2620.72,0.0500,false,false
2024-01-07,North America,United States,Automation Tools,Lead Scoring Add-on,Marketplace,Enterprise,7773.58,17,2,0.1169,0.4926,12,1437.80,0.0491,false,false
2024-01-07,EMEA,Germany,Analytics Platform,Forecast Studio,Direct,Enterprise,12023.97,7,1,0.0550,0.6022,5,2771.14,0.0565,false,false
2024-01-07,EMEA,United Arab Emirates,Enterprise Suite,Insight Enterprise Cloud,Partner,Enterprise,6337.11,1,0,0.0870,0.6300,1,1754.82,0.0443,false,false
2024-01-07,EMEA,France,Services,Implementation Services,Marketplace,Enterprise,5381.43,2,0,0.1167,0.4216,1,1264.89,0.0397,false,false
2024-01-07,APAC,India,Enterprise Suite,Revenue Intelligence Pro,Direct,Enterprise,8098.24,1,0,0.0648,0.6519,1,2494.03,0.0561,false,false
2024-01-07,APAC,Japan,Services,Enablement Workshop,Partner,SMB,6407.71,3,1,0.0785,0.3699,3,1517.11,0.0450,false,false
2024-01-07,APAC,Singapore,Automation Tools,CRM Workflow Pack,Marketplace,Mid-Market,3095.74,9,2,0.1001,0.4083,8,1009.84,0.0443,false,false
2024-01-07,LATAM,Brazil,Analytics Platform,Forecast Studio,Direct,Enterprise,4929.79,3,0,0.0596,0.6089,2,1334.52,0.0469,false,false
2024-01-07,LATAM,Chile,Enterprise Suite,Insight Enterprise Cloud,Partner,Mid-Market,5353.06,1,0,0.0818,0.5925,1,910.86,0.0366,false,false
2024-01-07,LATAM,Chile,Automation Tools,Lead Scoring Add-on,Marketplace,SMB,2356.70,8,3,0.0956,0.4329,8,675.33,0.0345,false,false
2024-01-08,North America,United States,Enterprise Suite,Insight Enterprise Cloud,Direct,Enterprise,18378.39,3,0,0.0508,0.6983,2,4196.37,0.0609,false,false
2024-01-08,North America,Canada,Services,Implementation Services,Partner,Enterprise,12207.96,4,1,0.0958,0.4564,3,2442.60,0.0528,false,false
2024-01-08,North America,Canada,Automation Tools,Lead Scoring Add-on,Marketplace,SMB,7780.03,28,10,0.1037,0.4901,29,1829.26,0.0469,false,false
2024-01-08,EMEA,United Kingdom,Enterprise Suite,Revenue Intelligence Pro,Direct,Enterprise,13747.10,2,0,0.0684,0.6909,1,2854.52,0.0568,false,false
2024-01-08,EMEA,Germany,Enterprise Suite,Revenue Intelligence Pro,Partner,Enterprise,8321.46,1,0,0.0914,0.6148,1,1954.60,0.0416,false,false
2024-01-08,EMEA,France,Automation Tools,CRM Workflow Pack,Marketplace,SMB,6482.55,23,11,0.1060,0.4510,24,1323.01,0.0371,false,false
2024-01-08,APAC,Australia,Automation Tools,CRM Workflow Pack,Direct,Enterprise,10675.62,24,2,0.0507,0.4981,17,2470.23,0.0607,false,false
2024-01-08,APAC,Australia,Analytics Platform,Pipeline Analytics,Partner,SMB,7455.00,7,3,0.0802,0.4931,7,1885.10,0.0498,false,false
2024-01-08,APAC,Singapore,Automation Tools,Lead Scoring Add-on,Marketplace,Mid-Market,4694.08,13,3,0.0960,0.4231,11,1188.68,0.0430,false,false
2024-01-08,LATAM,Mexico,Analytics Platform,Forecast Studio,Direct,Enterprise,6086.10,3,0,0.0685,0.6097,2,1480.99,0.0477,false,false
2024-01-08,LATAM,Brazil,Services,Enablement Workshop,Partner,Enterprise,3202.69,1,0,0.0832,0.4055,1,815.81,0.0404,false,false
2024-01-08,LATAM,Mexico,Enterprise Suite,Insight Enterprise Cloud,Marketplace,Enterprise,2744.69,1,0,0.1107,0.5920,1,625.40,0.0345,false,false
2024-01-09,North America,Canada,Automation Tools,Lead Scoring Add-on,Direct,Mid-Market,19929.44,56,14,0.0712,0.5697,49,3772.55,0.0617,false,false
2024-01-09,North America,United States,Enterprise Suite,Insight Enterprise Cloud,Partner,Enterprise,11252.54,2,0,0.0758,0.6451,1,2338.99,0.0515,false,false
2024-01-09,North America,United States,Automation Tools,Lead Scoring Add-on,Marketplace,Enterprise,8737.73,20,2,0.1014,0.4822,14,1685.72,0.0446,false,false
2024-01-09,EMEA,United Kingdom,Enterprise Suite,Insight Enterprise Cloud,Direct,Enterprise,14850.09,2,0,0.0518,0.6787,1,3080.57,0.0568,false,false
2024-01-09,EMEA,France,Enterprise Suite,Insight Enterprise Cloud,Partner,Enterprise,8224.41,1,0,0.0836,0.6342,1,1586.40,0.0424,false,false
2024-01-09,EMEA,France,Automation Tools,Lead Scoring Add-on,Marketplace,Mid-Market,5951.38,17,3,0.1166,0.4544,15,1349.04,0.0421,false,false
2024-01-09,APAC,India,Analytics Platform,Pipeline Analytics,Direct,Enterprise,10584.17,6,1,0.0649,0.5820,4,2783.27,0.0566,false,false
2024-01-09,APAC,Singapore,Analytics Platform,Forecast Studio,Partner,SMB,6548.12,6,3,0.0868,0.5070,6,1482.99,0.0432,false,false
2024-01-09,APAC,Singapore,Enterprise Suite,Revenue Intelligence Pro,Marketplace,SMB,5161.03,1,0,0.1071,0.5562,1,1064.76,0.0427,false,false
2024-01-09,LATAM,Brazil,Automation Tools,CRM Workflow Pack,Direct,Enterprise,7713.17,17,2,0.0697,0.5382,12,1518.60,0.0525,false,false
2024-01-09,LATAM,Mexico,Enterprise Suite,Revenue Intelligence Pro,Partner,Enterprise,3248.47,1,0,0.0773,0.6098,1,964.79,0.0391,false,false
2024-01-09,LATAM,Chile,Automation Tools,Lead Scoring Add-on,Marketplace,Mid-Market,2170.57,6,1,0.0946,0.4429,5,573.11,0.0304,false,false
2024-01-10,North America,United States,Enterprise Suite,Revenue Intelligence Pro,Direct,Enterprise,19582.19,3,0,0.0687,0.7191,2,3700.71,0.0637,false,false
2024-01-10,North America,United States,Analytics Platform,Pipeline Analytics,Partner,Enterprise,12772.54,7,1,0.0766,0.5707,5,2646.77,0.0497,false,false
2024-01-10,North America,United States,Analytics Platform,Pipeline Analytics,Marketplace,Enterprise,7969.48,5,1,0.1076,0.5800,4,1565.98,0.0502,false,false
2024-01-10,EMEA,Germany,Automation Tools,Lead Scoring Add-on,Direct,Enterprise,9366.74,21,2,0.0643,0.5531,15,2865.72,0.0593,false,false
2024-01-10,EMEA,Germany,Analytics Platform,Pipeline Analytics,Partner,Mid-Market,7351.54,5,1,0.0900,0.5571,4,1844.41,0.0416,false,false
2024-01-10,EMEA,Germany,Automation Tools,CRM Workflow Pack,Marketplace,Mid-Market,4967.70,14,3,0.1017,0.4547,12,1349.81,0.0399,false,false
2024-01-10,APAC,Japan,Services,Implementation Services,Direct,Enterprise,11560.86,4,1,0.0680,0.4234,3,2452.41,0.0621,false,false
2024-01-10,APAC,Japan,Analytics Platform,Pipeline Analytics,Partner,Enterprise,6978.90,4,1,0.0915,0.4980,3,1629.78,0.0463,false,false
2024-01-10,APAC,Australia,Services,Enablement Workshop,Marketplace,SMB,4999.55,3,1,0.1118,0.3490,3,1178.25,0.0446,false,false
2024-01-10,LATAM,Mexico,Analytics Platform,Forecast Studio,Direct,Mid-Market,7027.27,5,1,0.0528,0.6134,4,1224.69,0.0498,false,false
2024-01-10,LATAM,Mexico,Analytics Platform,Pipeline Analytics,Partner,Mid-Market,4139.85,3,1,0.0853,0.5253,3,1003.42,0.0395,false,false
2024-01-10,LATAM,Chile,Services,Enablement Workshop,Marketplace,Enterprise,2866.13,1,0,0.1169,0.3730,1,683.15,0.0367,false,false
2024-01-11,North America,Canada,Analytics Platform,Pipeline Analytics,Direct,Enterprise,19677.99,11,1,0.0513,0.6431,8,3191.91,0.0606,false,false
2024-01-11,North America,Canada,Enterprise Suite,Insight Enterprise Cloud,Partner,Enterprise,13996.37,2,0,0.0857,0.6474,1,2255.20,0.0474,false,false
2024-01-11,North America,Canada,Automation Tools,Lead Scoring Add-on,Marketplace,Enterprise,8584.59,19,2,0.1082,0.5029,14,1523.34,0.0440,false,false
2024-01-11,EMEA,United Kingdom,Enterprise Suite,Revenue Intelligence Pro,Direct,Enterprise,12435.16,2,0,0.0606,0.7013,1,2780.88,0.0583,false,false
2024-01-11,EMEA,France,Analytics Platform,Forecast Studio,Partner,Enterprise,8233.76,5,1,0.0816,0.5457,4,1851.04,0.0398,false,false
2024-01-11,EMEA,Germany,Enterprise Suite,Revenue Intelligence Pro,Marketplace,Enterprise,6236.12,1,0,0.0972,0.6037,1,1266.57,0.0411,false,false
2024-01-11,APAC,India,Enterprise Suite,Revenue Intelligence Pro,Direct,Enterprise,12172.12,2,0,0.0556,0.6363,1,2789.76,0.0598,false,false
2024-01-11,APAC,Australia,Automation Tools,CRM Workflow Pack,Partner,SMB,7494.03,27,10,0.0887,0.4508,28,1629.45,0.0462,false,false
2024-01-11,APAC,Japan,Services,Enablement Workshop,Marketplace,Enterprise,4795.15,2,0,0.1121,0.3450,1,1099.98,0.0434,false,false
2024-01-11,LATAM,Mexico,Analytics Platform,Forecast Studio,Direct,Enterprise,8029.65,5,1,0.0551,0.6078,4,1268.56,0.0496,false,false
2024-01-11,LATAM,Brazil,Enterprise Suite,Revenue Intelligence Pro,Partner,Enterprise,3364.92,1,0,0.0744,0.6066,1,905.04,0.0390,false,false
2024-01-11,LATAM,Brazil,Services,Implementation Services,Marketplace,Mid-Market,3075.63,1,0,0.0960,0.3952,1,587.78,0.0376,false,false
2024-01-12,North America,Canada,Automation Tools,Lead Scoring Add-on,Direct,Mid-Market,19663.93,55,14,0.0576,0.5660,48,3301.61,0.0659,false,false
2024-01-12,North America,United States,Analytics Platform,Pipeline Analytics,Partner,Enterprise,11151.20,6,1,0.0837,0.5773,4,2658.13,0.0509,false,false
2024-01-12,North America,Canada,Enterprise Suite,Insight Enterprise Cloud,Marketplace,Enterprise,8080.89,1,0,0.1094,0.6285,1,1548.24,0.0445,false,false
2024-01-12,EMEA,United Arab Emirates,Services,Implementation Services,Direct,SMB,12741.49,7,3,0.0670,0.4714,7,2522.10,0.0531,false,false
2024-01-12,EMEA,United Arab Emirates,Enterprise Suite,Revenue Intelligence Pro,Partner,Enterprise,9353.03,2,0,0.0746,0.6328,1,1764.12,0.0423,false,false
2024-01-12,EMEA,Germany,Automation Tools,CRM Workflow Pack,Marketplace,Enterprise,5477.90,12,1,0.0948,0.4656,9,1079.45,0.0426,false,false
2024-01-12,APAC,Singapore,Automation Tools,CRM Workflow Pack,Direct,SMB,10816.73,39,15,0.0520,0.5075,41,2458.94,0.0635,false,false
2024-01-12,APAC,Japan,Automation Tools,Lead Scoring Add-on,Partner,Enterprise,7593.80,17,2,0.0796,0.4441,12,1473.09,0.0481,false,false
2024-01-12,APAC,India,Enterprise Suite,Revenue Intelligence Pro,Marketplace,Mid-Market,4350.20,1,0,0.1084,0.5654,1,1205.58,0.0433,false,false
2024-01-12,LATAM,Mexico,Analytics Platform,Forecast Studio,Direct,Mid-Market,6039.67,4,1,0.0674,0.5983,4,1468.64,0.0473,false,false
2024-01-12,LATAM,Brazil,Analytics Platform,Pipeline Analytics,Partner,Enterprise,4941.41,3,0,0.0967,0.5364,2,966.33,0.0371,false,false
2024-01-12,LATAM,Brazil,Analytics Platform,Forecast Studio,Marketplace,Enterprise,3585.67,2,0,0.0964,0.5360,1,671.97,0.0333,false,false
2024-01-13,North America,United States,Automation Tools,Lead Scoring Add-on,Direct,Enterprise,17537.03,39,4,0.0691,0.5602,28,3585.30,0.0637,false,false
2024-01-13,North America,United States,Enterprise Suite,Revenue Intelligence Pro,Partner,Enterprise,11386.56,2,0,0.0873,0.6612,1,2245.12,0.0471,false,false
2024-01-13,North America,Canada,Analytics Platform,Forecast Studio,Marketplace,SMB,6815.61,6,2,0.0977,0.5496,6,1617.81,0.0501,false,false
2024-01-13,EMEA,United Arab Emirates,Automation Tools,CRM Workflow Pack,Direct,Enterprise,10960.68,24,3,0.0570,0.5471,17,2646.27,0.0532,false,false
2024-01-13,EMEA,United Arab Emirates,Analytics Platform,Pipeline Analytics,Partner,Enterprise,6853.83,4,1,0.0766,0.5420,3,1984.64,0.0415,false,false
2024-01-13,EMEA,France,Services,Enablement Workshop,Marketplace,Enterprise,4055.70,1,0,0.1052,0.4073,1,1193.81,0.0361,false,false
2024-01-13,APAC,India,Automation Tools,Lead Scoring Add-on,Direct,SMB,8212.12,29,15,0.0594,0.5102,30,2762.10,0.0606,false,false
2024-01-13,APAC,Japan,Analytics Platform,Pipeline Analytics,Partner,Mid-Market,5148.76,4,1,0.0821,0.5007,4,1691.19,0.0486,false,false
2024-01-13,APAC,Japan,Enterprise Suite,Revenue Intelligence Pro,Marketplace,Enterprise,3659.13,1,0,0.1077,0.5725,1,1193.38,0.0456,false,false
2024-01-13,LATAM,Chile,Analytics Platform,Forecast Studio,Direct,Mid-Market,5510.33,4,1,0.0699,0.5948,4,1500.60,0.0518,false,false
2024-01-13,LATAM,Mexico,Automation Tools,Lead Scoring Add-on,Partner,Enterprise,3346.85,7,1,0.0963,0.4624,5,829.34,0.0386,false,false
2024-01-13,LATAM,Brazil,Analytics Platform,Forecast Studio,Marketplace,Enterprise,2921.64,2,0,0.1060,0.5162,1,584.93,0.0362,false,false
2024-01-14,North America,United States,Analytics Platform,Forecast Studio,Direct,Enterprise,18088.37,10,1,0.0531,0.6368,7,3756.42,0.0622,false,false
2024-01-14,North America,United States,Automation Tools,CRM Workflow Pack,Partner,Enterprise,10300.23,23,3,0.0857,0.4989,17,2328.64,0.0527,false,false
2024-01-14,North America,Canada,Automation Tools,CRM Workflow Pack,Marketplace,Enterprise,6071.57,14,2,0.1154,0.4942,10,1482.61,0.0517,false,false
2024-01-14,EMEA,Germany,Analytics Platform,Pipeline Analytics,Direct,Enterprise,10534.90,6,1,0.0608,0.6307,4,3059.31,0.0534,false,false
2024-01-14,EMEA,France,Services,Implementation Services,Partner,Mid-Market,6110.83,2,1,0.0952,0.4073,2,1807.62,0.0399,false,false
2024-01-14,EMEA,Germany,Analytics Platform,Forecast Studio,Marketplace,Enterprise,4764.24,3,0,0.0995,0.5289,2,1278.36,0.0412,false,false
2024-01-14,APAC,India,Enterprise Suite,Revenue Intelligence Pro,Direct,Enterprise,7281.40,1,0,0.0685,0.6518,1,2578.23,0.0567,false,false
2024-01-14,APAC,India,Enterprise Suite,Insight Enterprise Cloud,Partner,Enterprise,5816.70,1,0,0.0732,0.5781,1,1552.09,0.0456,false,false
2024-01-14,APAC,India,Enterprise Suite,Revenue Intelligence Pro,Marketplace,Enterprise,3952.69,1,0,0.1027,0.5742,1,1186.03,0.0425,false,false
2024-01-14,LATAM,Mexico,Automation Tools,Lead Scoring Add-on,Direct,Enterprise,6112.38,14,2,0.0595,0.5476,10,1347.90,0.0516,false,false
2024-01-14,LATAM,Chile,Automation Tools,CRM Workflow Pack,Partner,Mid-Market,2602.95,7,2,0.0857,0.4850,6,805.80,0.0396,false,false
2024-01-14,LATAM,Mexico,Enterprise Suite,Insight Enterprise Cloud,Marketplace,Enterprise,2041.56,1,0,0.1036,0.5978,1,609.02,0.0372,false,false
2024-01-15,North America,United States,Automation Tools,Lead Scoring Add-on,Direct,Enterprise,18579.16,41,4,0.0641,0.5578,30,3444.58,0.0600,false,false
2024-01-15,North America,Canada,Analytics Platform,Pipeline Analytics,Partner,Enterprise,13262.38,8,1,0.0860,0.5992,6,2703.74,0.0508,false,false
2024-01-15,North America,United States,Analytics Platform,Pipeline Analytics,Marketplace,SMB,8731.19,8,4,0.1022,0.5796,8,1560.76,0.0495,false,false
2024-01-15,EMEA,France,Automation Tools,Lead Scoring Add-on,Direct,Enterprise,13367.28,30,3,0.0574,0.5622,22,3000.18,0.0580,false,false
2024-01-15,EMEA,United Kingdom,Analytics Platform,Forecast Studio,Partner,SMB,8110.03,7,3,0.0955,0.5411,7,1925.27,0.0424,false,false
2024-01-15,EMEA,Germany,Enterprise Suite,Insight Enterprise Cloud,Marketplace,Enterprise,5620.31,1,0,0.1073,0.5888,1,1281.47,0.0392,false,false
